id,lyric,line
3,Why aren't you here tonight?,31
3,"I'm waiting alone now, so come on and come out",32
3,"And pull me near and shine, shine, shine",33
3,"Hey Stephen, I could give you fifty reasons",34
3,Why I should be the one you choose,35
3,"All those other girls, well, they're beautiful",36
3,But would they write a song for you? (Ha-ha-ha),37
3,I can't help it if you look like an angel,38
3,Can't help it if I wanna kiss you in the rain so,39
3,Come feel this magic I've been feeling since I met you,40
3,Can't help it if there's no one else,41
3,"Mmm, I can't help myself",42
3,If you look like an angel,43
3,Can't help it if I wanna kiss you in the rain so,44
3,Come feel this magic I've been feeling since I met you,45
3,Can't help it if there's no one else,46
3,"Mmm, I can't help myself",47
3,"Ah-uh, myself",48
3,"Mmm-mm, I can't help myself",49
3,I can't help myself,50
3,Oh-oh-oh,51
3,"Mmm-mm, mm-mm",52
3,"Mmm-mm, mm-mm",53
3,"Mmm-mm, mm-mm",54
4,"Say you're sorry, that face of an angel",1
4,Comes out just when you need it to,2
4,As I paced back and forth all this time,3
4,'Cause I honestly believed in you,4
4,"Holdin' on, the days drag on",5
4,"Stupid girl, I shoulda known, I shoulda known",6
4,"That I'm not a princess, this ain't a fairytale",7
4,"I'm not the one you'll sweep off her feet, lead her up the stairwell",8
4,"This ain't Hollywood, this is a small town",9
4,I was a dreamer before you went and let me down,10
4,Now it's too late for you and your white horse,11
4,To come around,12
4,"Maybe I was naïve, got lost in your eyes",13
4,And never really had a chance,14
4,"My mistake, I didn't know to bе in love",15
4,You had to fight to have the uppеr hand,16
4,I had so many dreams about you and me,17
4,"Happy endings, now I know",18
4,"That I'm not a princess, this ain't a fairytale",19
4,"I'm not the one you'll sweep off her feet, lead her up the stairwell",20
4,"This ain't Hollywood, this is a small town",21
4,I was a dreamer before you went and let me down,22
4,Now it's too late for you and your white horse,23
4,To come around,24
4,And there you are on your knees,25
4,"Beggin' for forgiveness, beggin' for me",26
4,Just like I always wanted,27
4,But I'm so sorry,28
4,"'Cause I'm not your princess, this ain't our fairytale",29
4,I'm gonna find someone someday,30
4,Who might actually treat me well,31
4,"This is a big world, that was a small town",32
4,There in my rearview mirror disappearing now,33
4,And it's too late for you and your white horse,34
4,Now it's too late for you and your white horse,35
4,To catch me now,36
4,"Oh, whoa, whoa, whoa",37
4,"Try and catch me now, oh",38
4,It's too late to catch me now,39
5,"You're on the phone with your girlfriend, she's upset",1
5,She's going off about something that you said,2
5,'Cause she doesn't get your humor like I do,3
5,"I'm in my room, it's a typical Tuesday night",4
5,I'm listening to the kind of music she doesn't like,5
5,And she'll never know your story like I do,6
5,"Cause she wears short skirts, I wear T-shirts",7
5,She's Cheer Captain and I'm on the bleachers,8
5,Dreaming 'bout the day when you wake up and find,9
5,That what you're looking for has been here the whole time,10
5,If you could see that I'm the onе who understands you,11
5,"Been here all along, so why can't you see?",12
5,"You bеlong with me, you belong with me",13
5,Walking the streets with you and your worn-out jeans,14
5,I can't help thinking this is how it ought to be,15
5,"Laughing on a park bench, thinking to myself",16
5,"Hey, isn't this easy?",17
5,And you've got a smile that could light up this whole town,18
5,I haven't seen it in a while since she brought you down,19
5,"You say you're fine, I know you better than that",20
5,"Hey, whatcha doing with a girl like that?",21
5,"She wears high heels, I wear sneakers",22
5,She's Cheer Captain and I'm on the bleachers,23
5,Dreaming about the day when you wake up and find,24
5,That what you're looking for has been here the whole time,25
5,If you could see that I'm the one who understands you,26
5,"Been here all along, so why can't you see?",27
5,You belong with me,28
5,Standing by and waiting at your back door,29
5,"All this time how could you not know, baby?",30
5,"You belong with me, you belong with me",31
5,"Oh, I remember you driving to my house",32
5,In the middle of the night,33
5,I'm the one who makes you laugh,34
5,When you know you're 'bout to cry,35
5,I know your favorite songs,36
5,And you tell me 'bout your dreams,37
5,Think I know where you belong,38
5,Think I know it's with me,39
5,Can't you see that I'm the one who understands you,40
5,"Been here all along, so why can't you see?",41
5,You belong with me,42
